accountEntryCode,accountEntryId
CONTINENTALE,33563298
COOPEUCH,63863178
COOPITALIAINTRA,37988953
COPAAIR,61448450
COREISIM,86045837
CORPMEINTRA,83431664
COUNCICEBINT,94884207
COVANCE,36847631
CQU,4840383
CREDOCINTRA,18026203
CRISP,82220801
CROSSWIRED,29124021
CROWNEQUIP,5994778
CRUZROJAWEB,26076719
CSMINTRA,73029148
CSOB,7364245
CSOBSKPRIVATE,35524004
CTIS,102301532
CUNEF,38485135
CUSCAL,7061324
CUSTOMERSITE,27686122
CWSBOCO,37441241
CYCLEON,32101049
CYGATEINTRANET,10792240
CYIIWEBCORP,87467516
DAIICHI,5995770
DANONBLUEREV,39271203
DANONE,9764488
DANONECEM,66381283
DANONEFRANSA,32327976
DANONPORT,40466709
DATUHEALTH,52501685
DEAEPIC,39792998
DEALERSERVICES,38451548
DEBEKA,16835966
DEGUSSA,17898778
DEGUSSAMIVO,87959406
DEGUSSATRAC,64616330
DEKRA,4873286
DELTALLOYD,81233410
DELUXECORP,4840431
DELVAG,5995766
DESJARDINS,38956638
DESJARDINSURE,56964443
DEUS,36815808
DEUTSCHEPOSTPEP,44859503
DEVON,13632843
DFVIT,64096031
DGEMECEU,37146396
DIAINTRANET,81739956
DIBA,5274384
DICTUMINEZ,18641667
DIE,63115166
DIGIAFINOY,31328857
DIGITALSERIES,58145362
DIHK,18230790
DIPTARRAGONA,44476862
DIRLINSURSPA,38358659
DISCOVERREADY,67329144
DKV,36174102
DMIINC,27101798
DNAPORTAL,83602479
DOEWA,6256141
DOEWACMS,66856174
DOMINOSPIZZA,4840454
DPEXTRANET,16026499
DPM,77565439
DROPBOX,84008246
DSSNEWSFLASH,46876148
DUNEA,7125912
DXCTECHMIL,111349513
DZPRIVATELEF,51349265
EADSCASS,31153188
EASTERNMICHU,26169610
EATEL,82485803
ECOINTERNAT,76303621
ECONTINTRA,46971596
EDFENERGY,6987312
EDITURE,4840471
EDUCAMADRID,4840475
EDUCANTABRIA,6569827
EEQ,57177953
EGA,27298206
EHEALTH,34872100
EHRMANN,36955514
EHU,4840478
EITHEALTH,70119006
EJIEAS,4840482
ELISA,54950270
ELIXIROEM,42300347
ELLUCIANOEM,8891002
EMBRAPA,12139133
EMCALI,11203719
EMDEVSCARLLC,41610604
EMILBANCAINTRA,82891048
EMPA,50165707
EMPLOYEEPORTAL,108709709
EMSA,4840520
EMTAS,4840496
ENDURANCE,83381216
ENELKBMS,39021773
ENERGIECONT,25520420
ENI,47298165
EQUANTMSS,30239938
EQUIFAX,27528751
EQUIFAXEWS,89334535
ERASMUS,23959453
ERDFEPURE,44172337
ERDFLINCS,44169187
EREA,10387192
ESA,18373257
ESCPEXTRANET,19043921
ETATDUVALAIS,16304047
EULEN,14159102
EUMETSAT,83040617
EUROPOL,8331310
EUROSTAT,42579858
EVAKIRVOW,39820870
EVOCANALCORP,75379266
EXCELLUS,91951359
EXCELSIORCOLG,4840526
EXPERTISE,77566233
FCBARCELONAWEB,53120073
FCBWEB,77015149
FCCCONTROL,87176770
FCCINTRANET,76382895
FCCWEB,56502402
FERIBM,26121063
FHLBNY,115587312
FIDELITY,37210683
FINCEN,31123613
FINNISFORMIN,95778045
FINSYNERGY,66860297
FIS,45307588
FLACAIXA,61890437
FLCCONTROL,12246405
FLCOBRASOCIAL,73880012
FLCRRI,53744082
FLORIDAVC,28042514
FMCNA,64650343
FNMA,97313479
